,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
14197,2013,Malaysia,Partly free,"price increases, tax policy",,5000
14198,2014,Malaysia,Partly free,"political behavior, process",,70
14199,2014,Malaysia,Partly free,"price increases, tax policy",social restrictions,15000
14200,2014,Malaysia,Partly free,"political behavior, process",,250
14201,2015,Malaysia,Partly free,land farm issue,"political behavior, process",>1000
14202,2015,Malaysia,Partly free,"political behavior, process",police brutality,>10000
14203,2015,Malaysia,Partly free,"political behavior, process",labor wage dispute,100s
14204,2015,Malaysia,Partly free,"price increases, tax policy",,70
14205,2015,Malaysia,Partly free,"political behavior, process","price increases, tax policy",>50
14206,2015,Malaysia,Partly free,removal of politician,,70
14207,2015,Malaysia,Partly free,"price increases, tax policy",,4500
14208,2015,Malaysia,Partly free,removal of politician,,200
14209,2015,Malaysia,Partly free,removal of politician,,25000-200000
14210,2015,Malaysia,Partly free,"political behavior, process",,50000-100000
14211,2015,Malaysia,Partly free,"political behavior, process",,200
14212,2015,Malaysia,Partly free,removal of politician,labor wage dispute,>200
14213,2015,Malaysia,Partly free,"political behavior, process",,200
14214,2016,Malaysia,Partly free,"political behavior, process",,More than 100 people
14215,2016,Malaysia,Partly free,"political behavior, process",,About 300 people
14216,2016,Malaysia,Partly free,"political behavior, process",,50 people
14217,2016,Malaysia,Partly free,removal of politician,"political behavior, process",Some 500 people
14218,2016,Malaysia,Partly free,"political behavior, process",,Hundreds
14219,2016,Malaysia,Partly free,"political behavior, process",,Almost 200
14220,2016,Malaysia,Partly free,"price increases, tax policy",,"1,800 participants"
14221,2016,Malaysia,Partly free,"political behavior, process",,57 former estate workers
14222,2016,Malaysia,Partly free,"political behavior, process",,Some 250 residents
14223,2016,Malaysia,Partly free,"political behavior, process",,Nearly 500 supporters
14224,2016,Malaysia,Partly free,"political behavior, process",,Some 100 residents
14225,2016,Malaysia,Partly free,"political behavior, process",,Some 50 members
14226,2016,Malaysia,Partly free,removal of politician,"political behavior, process","SOME 3,000 people"
14227,2016,Malaysia,Partly free,"political behavior, process",,About 100 people
14228,2016,Malaysia,Partly free,removal of politician,"political behavior, process","Estimated to be 15,500"
14229,2016,Malaysia,Partly free,"political behavior, process",,About 300 protesters
14236,2018,Malaysia,Partly free,"political behavior, process",,">1,000"
14237,2018,Malaysia,Partly free,"political behavior, process",,50+
14238,2018,Malaysia,Partly free,land farm issue,,>50
14239,2018,Malaysia,Partly free,"political behavior, process",,About 300
14240,2018,Malaysia,Partly free,"political behavior, process",,55000
14241,2001,Singapore,Partly free,police brutality,,200
14242,2012,Singapore,Partly free,labor wage dispute,,102
14243,2012,Singapore,Partly free,labor wage dispute,,88
14244,2014,Singapore,Partly free,"price increases, tax policy",,300
14245,2014,Singapore,Partly free,"political behavior, process",labor wage dispute,500-600
14246,2014,Singapore,Partly free,"political behavior, process","price increases, tax policy",6000
14247,2014,Singapore,Partly free,"political behavior, process","price increases, tax policy",100s
14248,2014,Singapore,Partly free,"political behavior, process",,100s
14249,2015,Singapore,Partly free,"political behavior, process","price increases, tax policy",100s
14250,2015,Singapore,Partly free,labor wage dispute,"political behavior, process",400
14251,2015,Singapore,Partly free,labor wage dispute,"political behavior, process",>5000
14254,2018,Singapore,Partly free,"price increases, tax policy",,About 120
14255,1990,Philippines,Partly free,"political behavior, process",,300
14256,1990,Philippines,Partly free,"political behavior, process",,50000
14257,1990,Philippines,Partly free,"political behavior, process",,500
14258,1990,Philippines,Partly free,"price increases, tax policy",,1000
14259,1990,Philippines,Partly free,removal of politician,,2000
14260,1991,Philippines,Partly free,removal of politician,,1000
14261,1991,Philippines,Partly free,removal of politician,,50000
14262,1991,Philippines,Partly free,"political behavior, process",,200000
14263,1992,Philippines,Partly free,removal of politician,,20000
14264,1995,Philippines,Partly free,"political behavior, process",,10000
14265,1995,Philippines,Partly free,"price increases, tax policy",,2000
14266,1995,Philippines,Partly free,social restrictions,,1000
14267,1996,Philippines,Free,"price increases, tax policy",,350
14268,1996,Philippines,Free,removal of politician,,7500
14269,1996,Philippines,Free,"political behavior, process",,10000
14270,1996,Philippines,Free,"political behavior, process",,60000
14271,1997,Philippines,Free,"political behavior, process",,500000
14272,1999,Philippines,Free,"political behavior, process",,100000
14273,2000,Philippines,Free,"political behavior, process",,6000
14274,2000,Philippines,Free,removal of politician,,3000
14275,2000,Philippines,Free,removal of politician,,50000
14276,2000,Philippines,Free,removal of politician,,5000
14277,2000,Philippines,Free,"political behavior, process",,100000
14278,2000,Philippines,Free,removal of politician,,100000
14279,2000,Philippines,Free,removal of politician,,100000
14280,2001,Philippines,Free,removal of politician,,100000
14281,2001,Philippines,Free,removal of politician,,100000
14282,2001,Philippines,Free,"price increases, tax policy",,1000
14283,2004,Philippines,Free,social restrictions,,300
14284,2005,Philippines,Partly free,removal of politician,,5000
14285,2005,Philippines,Partly free,removal of politician,,50000
14286,2005,Philippines,Partly free,removal of politician,,15000
14287,2006,Philippines,Partly free,"political behavior, process",,50000
14288,2008,Philippines,Partly free,removal of politician,,5000
14289,2008,Philippines,Partly free,removal of politician,,15000
14290,2009,Philippines,Partly free,removal of politician,,10000
14291,2011,Philippines,Partly free,"political behavior, process",,1000s
14292,2012,Philippines,Partly free,"political behavior, process",,3000
14293,2013,Philippines,Partly free,"political behavior, process",,>50
14294,2013,Philippines,Partly free,"political behavior, process",,10000s
14295,2013,Philippines,Partly free,"political behavior, process",,100
14296,2014,Philippines,Partly free,"price increases, tax policy",,100
14297,2014,Philippines,Partly free,"political behavior, process",,2000
14298,2014,Philippines,Partly free,labor wage dispute,,25000
14299,2014,Philippines,Partly free,"political behavior, process",removal of politician,20000+
14300,2014,Philippines,Partly free,"political behavior, process",,50+
14301,2014,Philippines,Partly free,"political behavior, process",social restrictions,50+
14302,2014,Philippines,Partly free,"political behavior, process",,50+
14303,2015,Philippines,Partly free,labor wage dispute,"political behavior, process",7000
14304,2015,Philippines,Partly free,"political behavior, process",removal of politician,3000-4500
14305,2015,Philippines,Partly free,"political behavior, process",,200
14306,2016,Philippines,Partly free,"price increases, tax policy","political behavior, process","About 12,000 protesters"
14307,2016,Philippines,Partly free,"political behavior, process",,"About 2,000 people"
14314,2018,Philippines,Partly free,labor wage dispute,"political behavior, process",5000
14315,2018,Philippines,Partly free,"political behavior, process",,1800
14316,2018,Philippines,Partly free,"political behavior, process",,>100
14317,1990,Indonesia,Partly free,"political behavior, process",,100
14318,1991,Indonesia,Partly free,"political behavior, process",,3000
14319,1991,Indonesia,Partly free,"political behavior, process",,1000
14320,1992,Indonesia,Partly free,removal of politician,,70
14321,1993,Indonesia,Not free,social restrictions,,70
14322,1993,Indonesia,Not free,police brutality,,100
14323,1993,Indonesia,Not free,social restrictions,,250
14324,1993,Indonesia,Not free,"political behavior, process",,100
14325,1994,Indonesia,Not free,labor wage dispute,,1000
14326,1994,Indonesia,Not free,labor wage dispute,,750000
14327,1994,Indonesia,Not free,labor wage dispute,,50000
14328,1994,Indonesia,Not free,removal of politician,,2000
14329,1994,Indonesia,Not free,social restrictions,,700
14330,1994,Indonesia,Not free,social restrictions,,200
14331,1994,Indonesia,Not free,social restrictions,,100
14332,1994,Indonesia,Not free,"political behavior, process",,100
14333,1995,Indonesia,Not free,police brutality,,50
14334,1995,Indonesia,Not free,removal of politician,,200
14335,1995,Indonesia,Not free,removal of politician,,100
14336,1995,Indonesia,Not free,"political behavior, process",,100
14337,1995,Indonesia,Not free,labor wage dispute,,12000
14338,1996,Indonesia,Not free,police brutality,,1000
14339,1996,Indonesia,Not free,"price increases, tax policy",police brutality,10000
14340,1996,Indonesia,Not free,"political behavior, process",,5000
14341,1996,Indonesia,Not free,"political behavior, process",,1000
14342,1996,Indonesia,Not free,police brutality,,2000
14343,1996,Indonesia,Not free,police brutality,,3000
14344,1996,Indonesia,Not free,police brutality,,1000
14345,1997,Indonesia,Not free,police brutality,,100
14346,1997,Indonesia,Not free,labor wage dispute,,10000
14347,1997,Indonesia,Not free,"political behavior, process",,5000
14348,1997,Indonesia,Not free,"political behavior, process",,10000
14349,1997,Indonesia,Not free,"political behavior, process",,1000
14350,1998,Indonesia,Partly free,labor wage dispute,,10000
14351,1998,Indonesia,Partly free,"price increases, tax policy",,1000
14352,1998,Indonesia,Partly free,"price increases, tax policy",,2000
14353,1998,Indonesia,Partly free,"price increases, tax policy",,100
14354,1998,Indonesia,Partly free,"price increases, tax policy",,1000
14355,1998,Indonesia,Partly free,"price increases, tax policy",,300
14356,1998,Indonesia,Partly free,"price increases, tax policy",,1000
14357,1998,Indonesia,Partly free,"price increases, tax policy",,10000
14358,1998,Indonesia,Partly free,"price increases, tax policy",,1000
14359,1998,Indonesia,Partly free,"price increases, tax policy",,400
14360,1998,Indonesia,Partly free,"political behavior, process",,10000
14361,1998,Indonesia,Partly free,"political behavior, process",,1000
14362,1998,Indonesia,Partly free,"political behavior, process",,1000
14363,1998,Indonesia,Partly free,"political behavior, process",,250000
14364,1998,Indonesia,Partly free,social restrictions,,100
14365,1998,Indonesia,Partly free,"political behavior, process",,3000
14366,1998,Indonesia,Partly free,"political behavior, process",,2000
14367,1998,Indonesia,Partly free,"price increases, tax policy",,100
14368,1998,Indonesia,Partly free,social restrictions,,.
14369,1998,Indonesia,Partly free,"political behavior, process",,2000
14370,1998,Indonesia,Partly free,"price increases, tax policy","political behavior, process",1000
14371,1998,Indonesia,Partly free,"political behavior, process",,8000
14372,1998,Indonesia,Partly free,"political behavior, process",,10000
14373,1999,Indonesia,Partly free,police brutality,,3000
14374,1999,Indonesia,Partly free,police brutality,,1000
14375,1999,Indonesia,Partly free,"political behavior, process",,1000
14376,1999,Indonesia,Partly free,"political behavior, process",,3000
14377,1999,Indonesia,Partly free,"political behavior, process",,2000
14378,1999,Indonesia,Partly free,social restrictions,,100
14379,1999,Indonesia,Partly free,"political behavior, process",,1500
14380,1999,Indonesia,Partly free,"political behavior, process",,10000
14381,1999,Indonesia,Partly free,"political behavior, process",,.
14382,1999,Indonesia,Partly free,"political behavior, process",,7000
14383,1999,Indonesia,Partly free,"political behavior, process",,150
14384,1999,Indonesia,Partly free,"political behavior, process",,5000
14385,1999,Indonesia,Partly free,"political behavior, process",,1000000
14386,1999,Indonesia,Partly free,"political behavior, process",,20000
14387,1999,Indonesia,Partly free,"political behavior, process",,100
14388,2000,Indonesia,Partly free,"political behavior, process",,5000
14389,2000,Indonesia,Partly free,land farm issue,,1000
14390,2000,Indonesia,Partly free,land farm issue,,1000
14391,2000,Indonesia,Partly free,"price increases, tax policy",,300
14392,2000,Indonesia,Partly free,"political behavior, process",,5000
14393,2000,Indonesia,Partly free,"political behavior, process",,100
14394,2000,Indonesia,Partly free,"political behavior, process",,300
14395,2000,Indonesia,Partly free,removal of politician,,400
14396,2000,Indonesia,Partly free,"political behavior, process",,2000
14397,2001,Indonesia,Partly free,removal of politician,,10000
14398,2001,Indonesia,Partly free,removal of politician,,1000
14399,2001,Indonesia,Partly free,"political behavior, process",,1000
14400,2001,Indonesia,Partly free,"political behavior, process",,8000
